1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5B000000398E6B21
Is Mission Active?  true
Mission Start:  Sat Jul 23 05:36:00 CAST 2022
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  3331
Total Samples:  78753
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Sun Jul 31 00:00:00 CAST 2022
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/23/22, 11:12:00 PM,C,18
7/23/22, 11:14:00 PM,C,18
7/23/22, 11:16:00 PM,C,18
7/23/22, 11:18:00 PM,C,17.5
7/23/22, 11:20:00 PM,C,17.5
7/23/22, 11:22:00 PM,C,17.5
7/23/22, 11:24:00 PM,C,17.5
7/23/22, 11:26:00 PM,C,17.5
7/23/22, 11:28:00 PM,C,17.5
7/23/22, 11:30:00 PM,C,17.5
7/23/22, 11:32:00 PM,C,17.5
7/23/22, 11:34:00 PM,C,17.5
7/23/22, 11:36:00 PM,C,17
7/23/22, 11:38:00 PM,C,17
7/23/22, 11:40:00 PM,C,17
7/23/22, 11:42:00 PM,C,17
7/23/22, 11:44:00 PM,C,17
7/23/22, 11:46:00 PM,C,17
7/23/22, 11:48:00 PM,C,17
7/23/22, 11:50:00 PM,C,17
7/23/22, 11:52:00 PM,C,16.5
7/23/22, 11:54:00 PM,C,16.5
7/23/22, 11:56:00 PM,C,16.5
7/23/22, 11:58:00 PM,C,16.5
7/24/22, 12:00:00 AM,C,16.5
7/24/22, 12:02:00 AM,C,16.5
7/24/22, 12:04:00 AM,C,16.5
7/24/22, 12:06:00 AM,C,16.5
7/24/22, 12:08:00 AM,C,16.5
7/24/22, 12:10:00 AM,C,16.5
7/24/22, 12:12:00 AM,C,16.5
7/24/22, 12:14:00 AM,C,16.5
7/24/22, 12:16:00 AM,C,16.5
7/24/22, 12:18:00 AM,C,16.5
7/24/22, 12:20:00 AM,C,16.5
7/24/22, 12:22:00 AM,C,16.5
7/24/22, 12:24:00 AM,C,16.5
7/24/22, 12:26:00 AM,C,16.5
7/24/22, 12:28:00 AM,C,16.5
7/24/22, 12:30:00 AM,C,16.5
7/24/22, 12:32:00 AM,C,16.5
7/24/22, 12:34:00 AM,C,16.5
7/24/22, 12:36:00 AM,C,16
7/24/22, 12:38:00 AM,C,16
7/24/22, 12:40:00 AM,C,16
7/24/22, 12:42:00 AM,C,16
7/24/22, 12:44:00 AM,C,16
7/24/22, 12:46:00 AM,C,16
7/24/22, 12:48:00 AM,C,16
7/24/22, 12:50:00 AM,C,16
7/24/22, 12:52:00 AM,C,16
7/24/22, 12:54:00 AM,C,16
7/24/22, 12:56:00 AM,C,16
7/24/22, 12:58:00 AM,C,16
7/24/22, 1:00:00 AM,C,15.5
7/24/22, 1:02:00 AM,C,15.5
7/24/22, 1:04:00 AM,C,15.5
7/24/22, 1:06:00 AM,C,15.5
7/24/22, 1:08:00 AM,C,15.5
7/24/22, 1:10:00 AM,C,15.5
7/24/22, 1:12:00 AM,C,15.5
7/24/22, 1:14:00 AM,C,15.5
7/24/22, 1:16:00 AM,C,15.5
7/24/22, 1:18:00 AM,C,15.5
7/24/22, 1:20:00 AM,C,15.5
7/24/22, 1:22:00 AM,C,15.5
7/24/22, 1:24:00 AM,C,15.5
7/24/22, 1:26:00 AM,C,15.5
7/24/22, 1:28:00 AM,C,15.5
7/24/22, 1:30:00 AM,C,15.5
7/24/22, 1:32:00 AM,C,15.5
7/24/22, 1:34:00 AM,C,15.5
7/24/22, 1:36:00 AM,C,15
7/24/22, 1:38:00 AM,C,15
7/24/22, 1:40:00 AM,C,15
7/24/22, 1:42:00 AM,C,15
